Error: Line: 12, Position 10: "The required attribute 'ref' is missing." 
Error: Line: 21445, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21467, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21485, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21503, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21521, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21543, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21570, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21588, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21610, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21637, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21664, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21682, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21709, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21731, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

